StockID,StockName,CostPrice,QuantityReceived
1,Water Glass,0,0
2,Water Jug 2ltr,0,0
3,Coffee/Tea Cups,0,0
4,Standard Saucer,0,0
5,Satchet Holder,0,0
6,Tea Spoons,0,0
7,Tray Plastic Tray,0,0
8,Tray Wood Trays,0,0
9,Coffee/Tea Caddy (delux),0,0
10,Soap Holders,0,0
11,Information Folder (Standard),0,0
12,Information Folder (deluxe),0,0
13,Electric Kettle,0,0
14,Hair Dryers,0,0
15,Electric Steam Iron,0,0
16,Digital Room Safe,0,0
17,Hot Steamer Iron,0,0
18,Dome Tent Electric Fan,0,0
19,Face Towel,0,0
20,Hand Towel,0,0
21,Bath Mat,0,0
22,Bath Mats (Old),0,0
23,Bath Towel,0,0
24,Pool Towel,0,0
25,Pillow,0,0
26,Pillow Protector,0,0
27,Pillow Case,0,0
28,Mattress Convertor,0,0
29,Mattress Protector (Single),0,0
30,Mattress Protector (King),0,0
31,Fitted Sheet (Single),0,0
32,Fitted Sheet (King),0,0
33,Flat Sheet (Single),0,0
34,Flat Sheet (King),0,0
35,Throws (Rooms),0,0
36,Throws (Dome Tents),0,0
37,Blankets,0,0
38,Duvet Inner (Single),0,0
39,Duvet Inner (King),0,0
40,Duvet Cover (Single),0,0
41,Duvet Cover (King),0,0
42,Scatter Cushions (Cover - Small),0,0
43,Scatter Cushions (Cover - Medium),0,0
44,Scatter Cushions (Cover - Big),0,0
45,Scatter Cushions (Inner - Small),0,0
46,Scatter Cushions (Inner - Medium),0,0
47,Scatter Cushions (Inner - Big),0,0
48,Mosquito Nets (Small),0,0
49,Mosquito Nets (Big),0,0
50,Door Mat,0,0
51,Rubber Mat,0,0
52,Bathroom Rugs (Deluxe),0,0
53,Hot Water Bottles,0,0
54,Coat Hangers,0,0
55,Beer Willy Glass,0,0
56,Champagne Flute 16cl,0,0
57,Craft Glass 34cl,0,0
58,Craft Glass 50cl,0,0
59,Gin Coupe Glass,0,0
60,Glass Straws,0,0
61,Highball  Glass Ribbed 35cl,0,0
62,Highball Glass 33cl,0,0
63,Highball Rounded Glass 35cl,0,0
64,Hurricane Glass 44cl,0,0
65,Juice Glass Breakfast 15cl,0,0
66,Latte Glass,0,0
67,Margherita Glass 33cl,0,0
68,Martini Glass 24.5cl,0,0
69,Milkshake/Icecream Rib Glass,0,0
70,Pilsner Glass 42cl,0,0
71,Shot Glass 3.4clml,0,0
72,Shot Glass Double,0,0
73,Stemmed Beer Glass,0,0
74,Tealight Candle Glass,0,0
75,Water Jug Round Plain 1.3ltr,0,0
76,Water Jug Round Plain 2ltr,0,0
77,Water Jugs Ribbed 1 ltr,0,0
78,Whisky Glasses,0,0
79,Wine Glass Bush Dinner 35cl,0,0
80,Wine Glass Bush Dinner 47cl,0,0
81,Wine Paris Goblet 34.8cl,0,0
82,Wine Red Wine Glass 54.5cl,0,0
83,Wine White Wine Glass 49 cl,0,0
84,Ashtrays & Lids,0,0
85,3 Division Long condiment plate,0,0
86,Bowl Black round soup bowl,0,0
87,Bowl ALL Deep Salad  bowls white ,0,0
88,Bowl Butter dishes 8cm,0,0
89,Bowl Condiment Bowls 8cm,0,0
90,Bowl Glass Bowls ,0,0
91,Bowl Finger/Cereal Bowls White 11cm,0,0
92,Bowl Salad/Cerel Boats White Small,0,0
93,Bowl Speckled salad bowl 11cm,0,0
94,Bowl Speckled Salad/Cereal Boat 18cm ,0,0
95,Cup Coffee Cup Regular V- Shape,0,0
96,Cup Espresso Cups Round,0,0
97,Cup Espresso Cups V-Shape,0,0
98,Cup Grande Cappuccino Round Cup,0,0
99,Cup Grande Cappuccino V - Shape,0,0
100,Cup Tea/Coffee Stacking cups,0,0
101,Saucers  Espresso  Round & V-hape,0,0
102,Saucers All Stndard Saucers,0,0
103,Saucers V - Shaped Grande /Round Grande,0,0
104,Eared Veg Dish,0,0
