Id,StockName,CategoryID,CategoryName,IdealQuantity,AlertThreshold
1,Water Glass,26,GLASSWARE/CROCKERY/CUTLERY,0,0
2,Water Jug 2ltr,26,GLASSWARE/CROCKERY/CUTLERY,0,0
3,Coffee/Tea Cups,26,GLASSWARE/CROCKERY/CUTLERY,0,0
4,Standard Saucer,26,GLASSWARE/CROCKERY/CUTLERY,0,0
5,Satchet Holder,26,GLASSWARE/CROCKERY/CUTLERY,0,0
6,Tea Spoons,26,GLASSWARE/CROCKERY/CUTLERY,0,0
7,Tray Plastic Tray,27,HOUSEKEEPING ROOM SMALLS,0,0
8,Tray Wood Trays,27,HOUSEKEEPING ROOM SMALLS,0,0
9,Coffee/Tea Caddy (delux),27,HOUSEKEEPING ROOM SMALLS,0,0
10,Soap Holders,27,HOUSEKEEPING ROOM SMALLS,0,0
11,Information Folder (Standard),27,HOUSEKEEPING ROOM SMALLS,0,0
12,Information Folder (deluxe),27,HOUSEKEEPING ROOM SMALLS,0,0
13,Electric Kettle,28,HOUSEKEEPING ROOM EQUIPMENT,0,0
14,Hair Dryers,28,HOUSEKEEPING ROOM EQUIPMENT,0,0
15,Electric Steam Iron,28,HOUSEKEEPING ROOM EQUIPMENT,0,0
16,Digital Room Safe,28,HOUSEKEEPING ROOM EQUIPMENT,0,0
17,Hot Steamer Iron,28,HOUSEKEEPING ROOM EQUIPMENT,0,0
18,Dome Tent Electric Fan,28,HOUSEKEEPING ROOM EQUIPMENT,0,0
19,Face Towel,29,ROOMS LINEN,0,0
20,Hand Towel,29,ROOMS LINEN,0,0
21,Bath Mat,29,ROOMS LINEN,0,0
22,Bath Mats (Old),29,ROOMS LINEN,0,0
23,Bath Towel,29,ROOMS LINEN,0,0
24,Pool Towel,29,ROOMS LINEN,0,0
25,Pillow,29,ROOMS LINEN,0,0
26,Pillow Protector,29,ROOMS LINEN,0,0
27,Pillow Case,29,ROOMS LINEN,0,0
28,Mattress Convertor,29,ROOMS LINEN,0,0
29,Mattress Protector (Single),29,ROOMS LINEN,0,0
30,Mattress Protector (King),29,ROOMS LINEN,0,0
31,Fitted Sheet (Single),29,ROOMS LINEN,0,0
32,Fitted Sheet (King),29,ROOMS LINEN,0,0
33,Flat Sheet (Single),29,ROOMS LINEN,0,0
34,Flat Sheet (King),29,ROOMS LINEN,0,0
35,Throws (Rooms),29,ROOMS LINEN,0,0
36,Throws (Dome Tents),29,ROOMS LINEN,0,0
37,Blankets,29,ROOMS LINEN,0,0
38,Duvet Inner (Single),29,ROOMS LINEN,0,0
39,Duvet Inner (King),29,ROOMS LINEN,0,0
40,Duvet Cover (Single),29,ROOMS LINEN,0,0
41,Duvet Cover (King),29,ROOMS LINEN,0,0
42,Scatter Cushions (Cover - Small),29,ROOMS LINEN,0,0
43,Scatter Cushions (Cover - Medium),29,ROOMS LINEN,0,0
44,Scatter Cushions (Cover - Big),29,ROOMS LINEN,0,0
45,Scatter Cushions (Inner - Small),29,ROOMS LINEN,0,0
46,Scatter Cushions (Inner - Medium),29,ROOMS LINEN,0,0
47,Scatter Cushions (Inner - Big),29,ROOMS LINEN,0,0
48,Mosquito Nets (Small),29,ROOMS LINEN,0,0
49,Mosquito Nets (Big),29,ROOMS LINEN,0,0
50,Door Mat,30,ROOMS OTHER,0,0
51,Rubber Mat,30,ROOMS OTHER,0,0
52,Bathroom Rugs (Deluxe),30,ROOMS OTHER,0,0
53,Hot Water Bottles,30,ROOMS OTHER,0,0
54,Coat Hangers,30,ROOMS OTHER,0,0
55,Beer Willy Glass,1,Glassware,0,0
56,Champagne Flute 16cl,1,Glassware,0,0
57,Craft Glass 34cl,1,Glassware,0,0
58,Craft Glass 50cl,1,Glassware,0,0
59,Gin Coupe Glass,1,Glassware,0,0
60,Glass Straws,1,Glassware,0,0
61,Highball  Glass Ribbed 35cl,1,Glassware,0,0
62,Highball Glass 33cl,1,Glassware,0,0
63,Highball Rounded Glass 35cl,1,Glassware,0,0
64,Hurricane Glass 44cl,1,Glassware,0,0
65,Juice Glass Breakfast 15cl,1,Glassware,0,0
66,Latte Glass,1,Glassware,0,0
67,Margherita Glass 33cl,1,Glassware,0,0
68,Martini Glass 24.5cl,1,Glassware,0,0
69,Milkshake/Icecream Rib Glass,1,Glassware,0,0
70,Pilsner Glass 42cl,1,Glassware,0,0
